
##### tessera_vs_exl3_followups 2026-09-01 20:18:14 args={'layers': [5, 20, 42], 'projs': ['gate_proj', 'up_proj'], 'eval_rows': 1024, 'exl3': [2, 3, 4, 5, 6, 8], 'sigmas': [1.0, 3.0], 'ldlq_block': 32, 'q256': 896, 'rates': [4, 5], 'sigma_units': 64.0, 'refits': 2, 'fp4cb': [24, 20, 16], 'fp8cb': [32, 40, 48], 'cb_ldlq': 1, 's6b_inner': 1, 'out': 'experiments/results/tessera_vs_exl3_followups.json'}

== L5.gate_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.09170  A8 0.02550
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.33408  0.20108  0.21141  0.20184   22.5
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.45744  0.27653  0.28373  0.27702    7.4
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08842  0.06217  0.09105  0.06487   24.4
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09231  0.05806  0.08815  0.06090 1168.8
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09225  0.05659  0.08720  0.05950    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09334  0.06717  0.09424  0.06961  608.5
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10363  0.06361  0.09185  0.06622    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08980  0.05741  0.08768  0.06026  394.8
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08974  0.05589  0.08672  0.05883    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08521  0.05996  0.08966  0.06277    2.1
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08871  0.05456  0.08587  0.05757   39.6
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08647  0.05385  0.08545  0.05690   39.3
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04462  0.03109  0.07347  0.03619    2.2
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04646  0.02849  0.07237  0.03397   39.2
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04528  0.02814  0.07224  0.03370   39.1

== L42.up_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.08633  A8 0.02401
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    EXL3 K=2                                                            2.012  0.33275  0.25850  0.27177  0.25951    0.0
    EXL3 K=3                                                            3.012  0.16932  0.13129  0.15683  0.13339    0.0
    EXL3 K=4                                                            4.012  0.08580  0.06673  0.10897  0.07088    0.0
    EXL3 K=5                                                            5.012  0.04366  0.03389  0.09269  0.04153    0.0
    EXL3 K=6                                                            6.012  0.02238  0.01736  0.08803  0.02963    0.0
    EXL3 K=8                                                            8.012  0.00615  0.00479  0.08647  0.02448    0.0
    Gridbook FP8-CB K32                                                 4.008  0.09559  0.08728  0.12257  0.09052    0.4
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09601  0.08682  0.12222  0.09008    0.5
    Gridbook FP8-CB K40                                                 5.008  0.05050  0.04592  0.09770  0.05181    0.7
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05071  0.04599  0.09772  0.05186    0.7
    Gridbook FP8-CB K48                                                 6.008  0.02600  0.02370  0.08950  0.03375    1.9
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02605  0.02357  0.08947  0.03366    2.1
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15545  0.14209  0.16603  0.14407    3.4
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15659  0.14106  0.16517  0.14305    3.8
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21552  0.19625  0.21388  0.19768    1.3
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21717  0.19550  0.21308  0.19692    1.5
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30267  0.27699  0.28934  0.27798    1.1
